rows,N,cmean,ITT,FirstStage,LATE,p_val
registered_1,74922,42.031502,.51104969,.23784208,2.1486933,.22784996
se,,49.361576,.42368633,.0038112036,1.7817938,
dem_1,74922,19.168152,.22200724,.23784208,.93342292,.49903509
se,,39.362885,.32838359,.0038112036,1.3807853,
rep_1,74922,7.7568951,.11452018,.23784208,.48149669,.63517362
se,,26.74955,.24132273,.0038112036,1.0148361,
other_1,74922,3.6025879,-.038056832,.23784208,-.16000883,.80256414
se,,18.635693,.15220915,.0038112036,.6399585,
na_1,74922,11.503866,.21257909,.23784208,.8937825,.42850801
se,,31.907267,.26854736,.0038112036,1.1288733,
male=0,41249,44.850929,.2719906,.2256075,1.205592,.61666149
r2,,49.735306,.54320765,.0050487774,2.4083545,
male=1,33673,38.463985,.9215737,.25437033,3.6229606,.11746397
r4,,48.652412,.58888459,.0050956118,2.3142405,
old=0,54814,39.440907,.30915564,.23109946,1.3377602,.52544522
r6,,48.873188,.48693827,.0044871164,2.1067944,
old=1,20108,48.972168,1.1704435,.25622427,4.5680432,.15266189
r8,,49.991867,.81678641,.0070106005,3.1940069,
english=0,6440,10.260786,.4549745,.16376561,2.7782054,.61791772
r10,,30.349615,.91137928,.013691048,5.5697379,
english=1,68482,44.75066,.36708409,.24497968,1.4984266,.40567949
r12,,49.724369,.44140327,.0039612502,1.8020315,
dem_08=0,26723,41.687889,-.11832226,.24754481,-.47798321,.86818099
r14,,49.306042,.71299857,.0064488188,2.8799474,
dem_08=1,48199,42.219311,.85837585,.23244941,3.6927426,.1026153
r16,,49.391872,.52556902,.0047223666,2.2622876,
